   Dia   Mês   Ano  Hora
    21    12  2022    12        0.000000
    21    12  2022    13        0.000000
    21    12  2022    14        0.000000
    21    12  2022    15        0.000000
    21    12  2022    16        0.000000
    21    12  2022    17        0.000000
    21    12  2022    18        0.000000
    21    12  2022    19        0.000000
    21    12  2022    20        0.000000
    21    12  2022    21        0.000000
    21    12  2022    22        0.000000
    21    12  2022    23        0.000000
    22    12  2022    00        0.000000
    22    12  2022    01        0.000000
    22    12  2022    02        0.000000
    22    12  2022    03        0.000000
    22    12  2022    04        0.000000
    22    12  2022    05        0.000000
    22    12  2022    06        0.000000
    22    12  2022    07        0.000000
    22    12  2022    08        0.000000
    22    12  2022    09        0.000000
    22    12  2022    10        0.000000
    22    12  2022    11        0.000000
    22    12  2022    12        0.000000
    22    12  2022    13        0.000000
    22    12  2022    14        0.000000
    22    12  2022    15        0.000000
    22    12  2022    16        0.000000
    22    12  2022    17        0.000000
    22    12  2022    18        0.000000
    22    12  2022    19        0.000000
    22    12  2022    20        0.000000
    22    12  2022    21        0.000000
    22    12  2022    22        0.000000
    22    12  2022    23        0.000000
    23    12  2022    00        0.000000
    23    12  2022    01        0.000000
    23    12  2022    02        0.000000
    23    12  2022    03        0.000000
    23    12  2022    04        0.000000
    23    12  2022    05        0.000000
    23    12  2022    06        0.000000
    23    12  2022    07        0.000000
    23    12  2022    08        0.000000
    23    12  2022    09        0.000000
    23    12  2022    10        0.000000
    23    12  2022    11        0.000000
    23    12  2022    12        0.000000
    23    12  2022    13        0.000000
    23    12  2022    14        0.000000
    23    12  2022    15        0.000000
    23    12  2022    16        0.000000
    23    12  2022    17        0.000000
    23    12  2022    18        0.000000
    23    12  2022    19        0.000000
    23    12  2022    20        0.000000
    23    12  2022    21        0.000000
    23    12  2022    22        0.000000
    23    12  2022    23        0.000000
    24    12  2022    00        0.000000
    24    12  2022    01        0.000000
    24    12  2022    02        0.000000
    24    12  2022    03        0.000000
    24    12  2022    04        0.000000
    24    12  2022    05        0.000000
    24    12  2022    06        0.000000
    24    12  2022    07        0.000000
    24    12  2022    08        0.000000
    24    12  2022    09        0.000000
    24    12  2022    10        0.000000
    24    12  2022    11        0.000000
    24    12  2022    12        0.000000
    24    12  2022    13        0.000000
    24    12  2022    14        0.000000
    24    12  2022    15        0.000000
    24    12  2022    16        0.000000
    24    12  2022    17        0.000000
    24    12  2022    18        0.000000
    24    12  2022    19        0.000000
    24    12  2022    20        0.000000
    24    12  2022    21        0.000000
    24    12  2022    22        0.000000
    24    12  2022    23        0.000000
    25    12  2022    00        0.000000
    25    12  2022    01        0.000000
    25    12  2022    02        0.000000
    25    12  2022    03        0.000000
    25    12  2022    04        0.000000
    25    12  2022    05        0.000000
    25    12  2022    06        0.000000
    25    12  2022    07        0.000000
    25    12  2022    08        0.000000
    25    12  2022    09        0.000000
    25    12  2022    10        0.000000
    25    12  2022    11        0.000000
    25    12  2022    12        0.000000
    25    12  2022    13        0.000000
    25    12  2022    14        0.000000
    25    12  2022    15        0.000000
    25    12  2022    16        0.000000
    25    12  2022    17        0.000000
    25    12  2022    18        0.000000
    25    12  2022    19        0.000000
    25    12  2022    20        0.000000
    25    12  2022    21        0.000000
    25    12  2022    22        0.000000
    25    12  2022    23        0.000000
    26    12  2022    00        0.000000
    26    12  2022    01        0.000000
    26    12  2022    02        0.000000
    26    12  2022    03        0.000000
    26    12  2022    04        0.000000
    26    12  2022    05        0.000000
    26    12  2022    06        0.000000
    26    12  2022    07        0.000000
    26    12  2022    08        0.000000
    26    12  2022    09        0.000000
    26    12  2022    10        0.000000
    26    12  2022    11        0.000000
    26    12  2022    12        0.000000
    26    12  2022    13        0.000000
    26    12  2022    14        0.000000
    26    12  2022    15        0.000000
    26    12  2022    16        0.000000
    26    12  2022    17        0.000000
    26    12  2022    18        0.000000
    26    12  2022    19        0.000000
    26    12  2022    20        0.000000
    26    12  2022    21        0.000000
    26    12  2022    22        0.000000
    26    12  2022    23        0.000000
    27    12  2022    00        0.000000
    27    12  2022    01        0.000000
    27    12  2022    02        0.000000
    27    12  2022    03        0.000000
    27    12  2022    04        0.000000
    27    12  2022    05        0.000000
    27    12  2022    06        0.000000
    27    12  2022    07        0.000000
    27    12  2022    08        0.000000
    27    12  2022    09        0.000000
    27    12  2022    10        0.000000
    27    12  2022    11        0.000000
    27    12  2022    12        0.000000
    27    12  2022    13        0.000000
    27    12  2022    14        0.000000
    27    12  2022    15        0.000000
    27    12  2022    16        0.000000
    27    12  2022    17        0.000000
    27    12  2022    18        0.000000
    27    12  2022    19        0.000000
    27    12  2022    20        0.000000
    27    12  2022    21        0.000000
    27    12  2022    22        0.000000
    27    12  2022    23        0.000000
    28    12  2022    00        0.420000
    28    12  2022    01        9.590000
    28    12  2022    02        6.390000
    28    12  2022    03        0.000000
    28    12  2022    04        0.000000
    28    12  2022    05        0.000000
    28    12  2022    06        1.070000
    28    12  2022    07        5.330000
    28    12  2022    08        3.200000
    28    12  2022    09        0.000000
    28    12  2022    10        0.000000
    28    12  2022    11        0.020000
    28    12  2022    12        0.000000
    28    12  2022    13        0.000000
    28    12  2022    14        0.000000
    28    12  2022    15        0.000000
    28    12  2022    16        0.000000
    28    12  2022    17        0.000000
    28    12  2022    18        0.000000
    28    12  2022    19        0.000000
    28    12  2022    20        0.000000
    28    12  2022    21        0.000000
    28    12  2022    22        0.000000
    28    12  2022    23        0.000000
    29    12  2022    00        0.000000
    29    12  2022    01        0.000000
    29    12  2022    02        0.000000
    29    12  2022    03        0.000000
    29    12  2022    04        0.000000
    29    12  2022    05        0.000000
    29    12  2022    06        0.000000
    29    12  2022    07        0.000000
    29    12  2022    08        0.000000
    29    12  2022    09        0.000000
    29    12  2022    10        0.000000
    29    12  2022    11        0.000000
    29    12  2022    12        0.000000
    29    12  2022    13        0.000000
    29    12  2022    14        0.000000
    29    12  2022    15        0.000000
    29    12  2022    16        0.000000
    29    12  2022    17        0.000000
    29    12  2022    18        0.000000
    29    12  2022    19        0.000000
    29    12  2022    20        0.000000
    29    12  2022    21        0.000000
    29    12  2022    22        0.000000
    29    12  2022    23        0.000000
    30    12  2022    00        0.000000
    30    12  2022    01        0.000000
    30    12  2022    02        0.000000
    30    12  2022    03        0.000000
    30    12  2022    04        0.000000
    30    12  2022    05        0.000000
    30    12  2022    06        0.000000
    30    12  2022    07        0.000000
    30    12  2022    08        0.000000
    30    12  2022    09        0.000000
    30    12  2022    10        0.000000
    30    12  2022    11        0.000000
    30    12  2022    12        0.000000
    30    12  2022    13        0.000000
    30    12  2022    14        0.000000
    30    12  2022    15        0.000000
    30    12  2022    16        0.000000
    30    12  2022    17        0.000000
    30    12  2022    18        0.000000
    30    12  2022    19        0.000000
    30    12  2022    20        0.000000
    30    12  2022    21        0.000000
    30    12  2022    22        0.000000
    30    12  2022    23        0.000000
    31    12  2022    00        0.000000
    31    12  2022    01        0.000000
    31    12  2022    02        0.000000
    31    12  2022    03        0.000000
    31    12  2022    04        0.000000
    31    12  2022    05        0.000000
    31    12  2022    06        0.000000
    31    12  2022    07        0.000000
    31    12  2022    08        0.000000
    31    12  2022    09        0.000000
    31    12  2022    10        0.000000
    31    12  2022    11        0.000000
    31    12  2022    12        0.000000
    31    12  2022    13        0.000000
    31    12  2022    14        0.000000
    31    12  2022    15        0.000000
    31    12  2022    16        0.000000
    31    12  2022    17        0.000000
    31    12  2022    18        0.000000
    31    12  2022    19        0.000000
    31    12  2022    20        0.000000
    31    12  2022    21        0.000000
    31    12  2022    22        0.000000
    31    12  2022    23        0.000000
    01    01  2023    00        0.000000
    01    01  2023    01        0.000000
    01    01  2023    02        0.000000
