datetime,dia,mes,ano,hora,nivel_cm
2022-07-10 09:00:00,10,7,2022,9,229.0
2022-07-10 10:00:00,10,7,2022,10,227.0
2022-07-10 11:00:00,10,7,2022,11,225.0
2022-07-10 12:00:00,10,7,2022,12,223.0
2022-07-10 13:00:00,10,7,2022,13,221.0
2022-07-10 14:00:00,10,7,2022,14,219.0
2022-07-10 15:00:00,10,7,2022,15,217.0
2022-07-10 16:00:00,10,7,2022,16,215.0
2022-07-10 17:00:00,10,7,2022,17,213.0
2022-07-10 18:00:00,10,7,2022,18,211.0
2022-07-10 19:00:00,10,7,2022,19,210.0
2022-07-10 20:00:00,10,7,2022,20,208.0
2022-07-10 21:00:00,10,7,2022,21,207.0
2022-07-10 22:00:00,10,7,2022,22,205.0
2022-07-10 23:00:00,10,7,2022,23,204.0
2022-07-11 00:00:00,11,7,2022,0,203.0
2022-07-11 01:00:00,11,7,2022,1,201.0
2022-07-11 02:00:00,11,7,2022,2,200.0
2022-07-11 03:00:00,11,7,2022,3,199.0
2022-07-11 04:00:00,11,7,2022,4,198.0
2022-07-11 05:00:00,11,7,2022,5,197.0
2022-07-11 06:00:00,11,7,2022,6,197.0
2022-07-11 07:00:00,11,7,2022,7,196.0
2022-07-11 08:00:00,11,7,2022,8,195.0
2022-07-11 09:00:00,11,7,2022,9,194.0
2022-07-11 10:00:00,11,7,2022,10,194.0
2022-07-11 11:00:00,11,7,2022,11,193.0
2022-07-11 12:00:00,11,7,2022,12,193.0
2022-07-11 13:00:00,11,7,2022,13,192.0
2022-07-11 14:00:00,11,7,2022,14,191.0
2022-07-11 15:00:00,11,7,2022,15,191.0
2022-07-11 16:00:00,11,7,2022,16,190.0
2022-07-11 17:00:00,11,7,2022,17,189.0
2022-07-11 18:00:00,11,7,2022,18,189.0
2022-07-11 19:00:00,11,7,2022,19,188.0
2022-07-11 20:00:00,11,7,2022,20,187.0
2022-07-11 21:00:00,11,7,2022,21,187.0
2022-07-11 22:00:00,11,7,2022,22,186.0
2022-07-11 23:00:00,11,7,2022,23,186.0
2022-07-12 00:00:00,12,7,2022,0,186.0
2022-07-12 01:00:00,12,7,2022,1,185.0
2022-07-12 02:00:00,12,7,2022,2,185.0
2022-07-12 03:00:00,12,7,2022,3,184.0
2022-07-12 04:00:00,12,7,2022,4,185.0
2022-07-12 05:00:00,12,7,2022,5,185.0
2022-07-12 06:00:00,12,7,2022,6,185.0
2022-07-12 07:00:00,12,7,2022,7,185.0
2022-07-12 08:00:00,12,7,2022,8,184.0
2022-07-12 09:00:00,12,7,2022,9,184.0
2022-07-12 10:00:00,12,7,2022,10,183.0
2022-07-12 11:00:00,12,7,2022,11,183.0
2022-07-12 12:00:00,12,7,2022,12,183.0
2022-07-12 13:00:00,12,7,2022,13,183.0
2022-07-12 14:00:00,12,7,2022,14,183.0
2022-07-12 15:00:00,12,7,2022,15,183.0
2022-07-12 16:00:00,12,7,2022,16,183.0
2022-07-12 17:00:00,12,7,2022,17,183.0
